MemTotal:         249964 kB
MemFree:          160592 kB
MemAvailable:     183104 kB
Buffers:            8920 kB
Cached:            22840 kB
SwapCached:            0 kB
Active:            18972 kB
Inactive:          16916 kB
Active(anon):       6004 kB
Inactive(anon):     3560 kB
Active(file):      12968 kB
Inactive(file):    13356 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:          4148 kB
Mapped:            13024 kB
Shmem:              5436 kB
KReclaimable:       3288 kB
Slab:              12184 kB
SReclaimable:       2228 kB
SUnreclaim:         9956 kB
KernelStack:         968 kB
PageTables:          396 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      124980 kB
Committed_AS:      21884 kB
VmallocTotal:     770048 kB
VmallocUsed:        3356 kB
VmallocChunk:          0 kB
Percpu:              144 kB
CmaTotal:           4096 kB
CmaFree:             756 kB
